"X.1","X","ISBN","Title","Author","Year","Publisher","Description","Avg_Rating","Num_Pages","Ratings_Count","Text_Reviews_Count","freshNessFeature","characters","AuthorFansCount","AuthorRatings","AuthorWorksCount","ScoreList"
1,1,"0020418000","Susan B. Anthony : Champion of Women's Rights (Childhood Of Famous Americans)","Helen Albee Monsell",1986,"Aladdin","Focuses on the childhood of a pioneer in the crusade for human rights, particularly those of women.",3.78,192,71,7,0,0,1,3.141,16,0.75
2,2,"0020419201","Benjamin Franklin: Young Printer (Childhood of Famous Americans)","Augusta Stevenson",1986,"Aladdin","One of the most popular series ever published for young American's, these classics have been praised alike by parents, teachers, and librarians. With these lively, inspiring, fictionalized biographies - easily read by children of eight and up - today's youngster is swept into history.",4,192,137,12,0,0,3,3.894,60,1.725
3,3,"0020421303","Babe Ruth : One of Baseball's Greatest (Childhood Of Famous Americans)","Jr., Guernsey Van Riper",1986,"Aladdin","A biography of the well-loved baseball personality who set many records and made home runs a common part of the game.",3.8,192,97,14,0,0,NA,NA,NA,0
4,4,"0020421508","George Washington : Young Leader (Childhood Of Famous Americans)","Augusta Stevenson",1986,"Aladdin","One of the most popular series ever published for young American's, these classics of childhood have been praised alike by parents, teachers, and librarians. These lively, inspiring, believable biographies sweep today's young readers right into history.",3.69,192,344,23,0,0,3,3.894,60,3.075
5,5,"0020437501","Rosie'S Walk","Pat Hutchins",1971,"Aladdin","Rosie the hen leaves the chicken coop and sets out for a little walk. Right behind her is the fox, slyly trying to catch up with her. Rosie's walk is quiet, uneventful and eventually leads her back to the coop, blissfully unaware of the fox's travails as he tries -- unsuccessfully -- to navigate the obstacle course that Rosie has led him through.",4.03,32,66,12,0,0,25,3.871,65,-0.0833333333333333
6,6,"0026887606","MUSTANG WILD SPIRIT OF THE WEST (The Marguerite Henry horseshore library)","Marguerite Henry",1987,"Aladdin","A fictional retelling, from the point of view of Annie Bronn Johnston, of how this Nevada woman fought to protect the American wild horse, the mustang, from extinction because of professional killers who chased the horses for use in dog food.",4.02,222,6,1,0,0,430,4.092,52,0.45
7,7,"0191012084","The Revised English Bible","Oxford University Press",1989,"Oxford University Press","REB Standard Text edition reissued in hardback with a new cover.",4.49,1088,11,4,0,0,81,4.194,1411,0.8
8,8,"0192100556","But Is It Art? An Introduction to Art Theory","Cynthia A. Freeland",2001,"Oxford University Press","In the art world at the beginning of the 21st century many strange, even shocking, things qualify as art. In this book, Cynthia Freeland explains why innovation and controversy are valued in the arts, weaving together philosophy and art theory with many thought-provoking examples. She discusses blood, beauty, culture, money, museums, sex, and politics, clarifying contemporary and historical accounts of the nature, function, and interpretation of the arts. Freeland also propels us into the future by surveying state-of-the-art web sites, along with cutting-edge research on the brain's role in perceiving art. This book engages with the big debates surrounding our responses to art and should prove a useful introduction to anyone interested in thinking about art",3.66,232,8,1,0,1,8,2.88166666666667,6,1.53
9,9,"0192115596","The Classic Fairy Tales","Iona Opie",1992,"Oxford University Press","Everyone has at one time been inspired or enchanted by fairy tales, with their evil witches, pure princesses, heroic princes, and happy endings. Yet over the years, most of these popular tales have undergone many transformations, as editors and storytellers have shortened and sentimentalized them, as well as slanted them to suit the demands of the time.<br /> Now reissued, Iona and Peter Opie's magnificent The Classic Fairy Tales, presents twenty-four of the best-known fairy tales in their original written form. Drawing on years of expertise, the editors provide introductions to each fairy tale, tracing the development of each story and noting points of interest. We learn, for example, that in a 17th century version of ""Sleeping Beauty,"" the prince actually raped the princess in her sleep. Goldilocks, it turns out, evolved from the little old woman of the original story into a young girl. Little Red Ridinghood was actually eaten by the wolf, and in an early version of the ""Frog Prince,"" the princess had to sleep with the frog to free him from his spell.<br /> With classic tales from the likes of Charles Perrault, the Brothers Grimm, and Hans Christian Andersen, and the works of such famous illustrators as Gustav Dore, Kate Greenaway, and George Cruikshank, The Classic Fairy Tales brings to life the charm and beauty of these timeless favorites.",4.16,256,23,2,0,6,12,4.09,39,1.73125
10,10,"0192116819","Unsuitable for Ladies: An Anthology of Women Travellers","Jane Robinson",1994,"Oxford University Press","Diving to the bed of the Timor sea, reaching the summit of Annapurna, encountering a madman in the Amazon jungle, suffering shipwreck and kidnap on the Barbary Coast, hiking the Alps with an infant in a backpack--these are just a few of the adventures readers will explore in Unsuitable for Ladies, a wide ranging collection of travel pieces written by intrepid women globe-trotters. These writings reveal that there are few corners of the world that have not been visited by English women, and that there are few difficulties, physical or emotional, real or imagined, that have not been overcome by these same dauntless explorers.<br /> Here readers will find such well known authors and figures as Florence Nightingale, Mary Shelley, Frances Trollope, Gertrude Bell, Karen Blixen, Mary Kingsley, Jan Morris, Freya Stark, Rosie Swayle, and Rebecca West. These writers take us to virtually every area of the globe in every era, from Alp-climbing with Freya Stark in 1950 (""The first time in my life I climbed with a rope.... The happiness was almost frightening"") to exploring Waterloo with Charlotte Eaton in 1817, just after the battle (""The ground was ploughed up...with the charge of the cavalry, and the whole field...covered with soldiers' caps, shoes...belts, and scabbards"") to a trek through China in 1885 with Emily Innes (""I was suddenly awakened by a great shouting and a great light overhead. 'A Chinese festival, no doubt, ' thought I; and I felt no alarm.... I was far from guessing what was the fact, namely, that my host had been murdered a few minutes before"") to Mary Kingsley's description of shooting leopards in Africa (""Do not mistake this for a sporting adventure""). Riveting, often disturbing accounts of historical events appear, ranging from Florence Nightingale's thoughts on the bloody Crimean war, to eye-witness accounts of recent uprisings in Soviet Georgia and in Romania, where Dervia Murphy witnessed the execution of dictator Ceausescus, an event that left her uneasily satisfied and ""shocked badly to be taken over, for the first time...by pure hatred of fellow beings."" And throughout the volume are brilliant descriptions of exotic foreign landscapes, such as Karen Blixen's writings on her home in the African hill country (""Africa distilled up through six thousand feet, like the strong and refined essence of a continent""). Editor Jane Robinson skillfully weaves the excerpts together with short introductions that keep each entry distinct while connecting them by theme, time, or place, and she includes a detailed map section, providing geographic orientation for the reader. <br /> An exhilarating journey through sixteen centuries of travel writing, aboard almost anything from a Bugatti to a Bath chair, Unsuitable for Ladies is a fascinating read, suitable for anyone who loves exploring new cultures and landscapes, whether first-hand or from an armchair.",3.83,496,4,0,0,12,5,3.705,12,0.231818181818182
11,11,"0192116975","The Oxford Companion to British Railway History: From 1603 to the 1990s","Jack Simmons",1997,"Oxford University Press","This is the first encyclopedia to chart the progress of Britain's railway development. It begins with primitive 17th-century wagonways, fully considers the eras of horse, steam, diesel, and electric traction, and then charts the change from private to public ownership. Finally, it describes in detail the privatizations of the late 1990s. Over six hundred entries by eighty-eight expert contributors provide a comprehensive and unique reference to all aspects of railways.<br />",3,608,1,0,0,0,0,1.92,30,0.81
12,12,"0192141163","The Oxford Book of Short Stories","V.S. Pritchett",1981,"Oxford University Press","V.S. Prictchett, one of our greatest living short-story writers, has chosen some forty stories written in the English language to produce a collection that successfully displays the wealth and variety of an art that spans some 200 years.Great Britain, America, and especially Eire have fine traditions of short-story writing that have developed from the time of Sir Walter Scott and Nathaniel Hawthorne, while in this century the art has been perfected by Ernest Hemingway, D.H. Lawrence, W. Somerset Maugham, John Updike, and V.S. Pritchett himself. The Irish contribution includes such masters as James Joyce, Frank O'Conner, and Liam O'Flaherty, and stories by Canadian, Indian, New Zealand, and Austrailian writers show the full range of invention and ability in a genre that continues to flourish.",3.71,576,12,0,0,7,19,4.09,93,4.075
